,full_name,rating,jersey,team,position,b_day,height_in_m,weight_in_kg,salary,country,draft_year,draft_round,draft_peak,college,current_age,year_played,body_mass_index,bmi_class,attended_college
331,Patrick McCaw,72,#22,Toronto Raptors,G,10/25/1995,2.01,82.1,4000000,USA,2016,2,38,UNLV,25,4,20.3,Normal,0
332,Rodney McGruder,72,#19,Los Angeles Clippers,G,7/29/1991,1.93,93,4807693,USA,2013,0,0,Kansas State,29,7,25,Overweight,0
333,Darius Miller,72,#21,New Orleans Pelicans,F,3/21/1990,1.98,102.1,7250000,USA,2012,2,46,Kentucky,31,9,26,Overweight,0
334,Raul Neto,72,#19,Philadelphia 76ers,G,5/19/1992,1.85,77.1,1737145,Brazil,2013,2,47,,28,7,22.5,Normal,1
335,Georges Niang,72,#31,Utah Jazz,F,6/17/1993,2.01,104.3,1645357,USA,2016,2,50,Iowa State,27,4,25.8,Overweight,0
336,Cameron Payne,72,#0,Phoenix Suns,G,8/8/1994,1.88,81.6,346288,USA,2015,1,14,Murray State,26,5,23.1,Normal,0
337,Anfernee Simons,72,#1,Portland Trail Blazers,G,6/8/1999,1.91,82.1,2149560,USA,2018,1,24,,21,2,22.5,Normal,1
338,Zhaire Smith,72,#8,Philadelphia 76ers,G-F,6/4/1999,1.91,93,3058800,USA,2018,1,16,Texas Tech,21,2,25.5,Overweight,0
339,Anthony Tolliver,72,#0,Memphis Grizzlies,F,6/1/1985,2.03,108.9,2854556,USA,2007,0,0,Creighton,35,13,26.4,Overweight,0
340,DJ Wilson,72,#5,Milwaukee Bucks,F,2/19/1996,2.08,106.1,2961120,USA,2017,1,17,Michigan,25,4,24.5,Normal,0
341,Alfonzo McKinnie,72,#0,Cleveland Cavaliers,F,9/17/1992,2.03,97.5,2391985,USA,2015,0,0,Green Bay,28,5,23.7,Normal,0
342,Romeo Langford,72,#45,Boston Celtics,G,10/25/1999,1.93,98,3458400,USA,2019,1,14,Indiana,21,1,26.3,Overweight,0
343,Grant Williams,72,#12,Boston Celtics,F,11/30/1998,1.98,107,2379840,USA,2019,1,22,Tennessee,22,1,27.3,Overweight,0
344,Nicolas Claxton,72,#0,Brooklyn Nets,C,4/17/1990,2.11,97.5,898310,USA,2019,2,31,Georgia,31,2,21.9,Normal,0
345,PJ Washington,72,#25,Charlotte Hornets,F,8/23/1998,2.01,102.1,3831840,USA,2019,1,12,Kentucky,22,1,25.3,Overweight,0
346,Ryan Arcidiacono,72,#51,Chicago Bulls,G,3/26/1994,1.91,88.5,3000000,Italy,2016,0,0,Villanova,27,5,24.3,Normal,0
